Chron,Duration
E23r,0.01
E23n,0.89
E22r,0.31
E22n.2n,0.23
E22n.1r,0.01
E22n.1n,0.37
E21r.3r,0.32
E21r.2n,0.02
E21r.2r,0.13
E21r.1n,0.05
E21r.1r,0.19
E21n,0.53
E20r.2r,1.38
E20r.1n,0.04
E20r.1r,0.17
E20n,0.12
E19r,0.69
E19n,0.15
E18r,0.38
E18n,0.52
E17r,1.39
E17n,0.46
E16r,0.3
E16n,1.8
E15r.2r,0.31
E15r.1n,0.04
E15r.1r,0.2
E15n,0.84
E14r,1.48
E14n,1.24
E13r,0.81
E13n.2n,0.92
E13n.1r,0.04
E13n.1n,0.53
E12r,0.83
E12n,0.17
E11r,2.01
E11n,0.28
E10r,0.49
E10n,0.5
E9r,1.27
E9n,0.53
E8r,1.61
E8n,0.6
E7r,0.37
E7n,1.29
E6r,0.35
E6n,0.7
E5r,0.39
E5n.2n,0.14
E5n.1r,0.11
E5n.1n,0.4
E4r,0.17
E4n,0.42
E3r,0.17
E3n,0.23
E2r,0.35
E2n,0.4
